RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11500,강서구,10200,등촌동,1,대지,0530,0026,시온주택,2025-04-01,20000,58.56,23.0,3.0,,,1996,연립다세대,직거래,
2025,11500,강서구,10200,등촌동,1,대지,0631,0000,등촌동두산위브센티움,2025-04-01,14000,22.6,30.65,4.0,,,2004,오피스텔,중개거래,서울 강서구
2025,11305,강북구,10100,미아동,1,대지,0705,0001,한화 포레나 미아,2025-04-01,100111,80.848,0.0,10.0,분양권,,0,아파트,중개거래,서울 강북구
2025,11560,영등포구,13200,신길동,1,대지,4969,0000,힐스테이트클래시안,2025-04-01,135000,59.87,0.0,13.0,,,2020,아파트,중개거래,서울 영등포구
2025,11200,성동구,12200,용답동,1,대지,0232,0001,신창비바패밀리,2025-04-01,28500,51.5,71.0,8.0,,,2006,오피스텔,중개거래,서울 성동구
2025,11380,은평구,11400,진관동,1,대지,0073,0000,웅신 미켈란의 아침,2025-04-01,12600,19.06,32.5187,10.0,,,2017,오피스텔,중개거래,서울 은평구
2025,11710,송파구,10800,문정동,1,대지,0618,0000,파크하비오,2025-04-01,45000,48.93,62.01,3.0,,,null,오피스텔,중개거래,서울 송파구
2025,11530,구로구,11000,온수동,1,대지,0067,0015,목화빌라18차,2025-04-01,24000,70.08,40.0,5.0,,,2004,연립다세대,중개거래,서울 구로구
2025,11620,관악구,10200,신림동,1,대지,0685,0086,알펜하우스(685-86),2025-04-01,30500,43.68,33.0,4.0,,,2017,연립다세대,중개거래,서울 관악구
2025,11500,강서구,10300,화곡동,1,대지,1011,0006,희훈리치파크,2025-04-01,73000,84.64,0.0,4.0,,,2002,아파트,중개거래,서울 강서구
2025,11500,강서구,10300,화곡동,1,대지,0920,0015,남광아파트,2025-04-01,23000,32.07,0.0,13.0,,,2017,아파트,직거래,
2025,11305,강북구,10300,수유동,1,대지,0410,0210,천협빌라,2025-04-01,20000,44.22,21.0,-1.0,,,1993,연립다세대,직거래,
2025,11500,강서구,10500,마곡동,1,대지,0760,0000,마곡나루역보타닉푸르지오시티,2025-04-01,19900,22.2,31.65,7.0,,,2017,오피스텔,중개거래,서울 강서구
2025,11350,노원구,10200,월계동,1,대지,0534,0106,한솔드림빌A동,2025-04-01,30000,58.86,25.0,2.0,,,2001,연립다세대,중개거래,서울 성북구
2025,11500,강서구,10200,등촌동,1,대지,0691,0003,부영,2025-04-01,85000,80.64,0.0,2.0,,,1994,아파트,중개거래,서울 강서구
2025,11140,중구,16200,신당동,1,대지,0432,2060,성지타운6차,2025-04-01,32500,59.77,27.0,1.0,,,2000,연립다세대,중개거래,서울 중구
2025,11680,강남구,10600,대치동,1,대지,0890,0049,선릉역대우아이빌(890-49),2025-04-01,21600,25.42,0.0,12.0,,,2004,아파트,직거래,
2025,11500,강서구,10500,마곡동,1,대지,0716,0000,한솔솔파크,2025-04-01,107000,84.87,0.0,7.0,,,2005,아파트,중개거래,서울 강서구
2025,11320,도봉구,10800,도봉동,1,대지,0560,0003,성일하이츠빌,2025-04-01,16800,49.24,28.0,2.0,,,2003,연립다세대,중개거래,서울 도봉구
2025,11200,성동구,11300,옥수동,1,대지,0561,0000,래미안 옥수 리버젠,2025-04-01,230000,113.52,0.0,13.0,,,2012,아파트,중개거래,서울 성동구
2025,11350,노원구,10200,월계동,1,대지,0012,0000,삼호4,2025-04-01,59500,50.18,0.0,4.0,,,1987,아파트,중개거래,서울 노원구
